City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,hawaiian paradise park,19.5933,-154.9731,81.03,76,75,6.91,US,broken clouds
130,tubarjal,30.4999,38.216,84.16,31,0,14.94,SA,clear sky
131,sitangkai,4.6628,119.3928,82.96,74,82,6.24,PH,broken clouds
132,kalmunai,7.4167,81.8167,78.6,83,100,6.58,LK,overcast clouds
133,ushuaia,-54.8,-68.3,37.06,75,20,12.66,AR,few clouds
134,granville,-33.8333,151.0167,48.88,88,20,10.36,AU,few clouds
135,lebu,-37.6167,-73.65,50.38,71,2,9.89,CL,clear sky
136,enumclaw,47.2043,-121.9915,68.25,64,94,5.01,US,overcast clouds
137,loudi,27.7344,111.9944,79.34,80,100,3.4,CN,overcast clouds
138,kone,-21.0595,164.8658,65.53,62,8,1.95,NC,clear sky
139,lagunas,-5.2269,-75.6753,90.93,49,49,0.83,PE,scattered clouds
140,happy valley-goose bay,53.3168,-60.3315,82.71,54,75,11.5,CA,broken clouds
141,khorugh,37.4897,71.553,63.3,36,0,2.75,TJ,clear sky
142,la rinconada,37.4873,-5.9826,96.98,20,0,9.22,ES,clear sky
143,lagodekhi,41.8268,46.2767,70.7,65,10,3.04,GE,clear sky
144,port mathurin,-19.6833,63.4167,74.68,61,41,16.15,MU,scattered clouds
145,nyandoma,61.669,40.1991,47.05,70,50,3.98,RU,scattered clouds
146,bukuru,9.8,8.8667,67.53,80,29,1.74,NG,light rain
147,hibbing,47.4272,-92.9377,71.42,28,0,12.66,US,clear sky
148,jetiba,-20.05,-40.6667,66.69,92,52,2.71,BR,broken clouds
149,bobbili,18.5667,83.3667,79.59,86,100,0.81,IN,overcast clouds
150,codrington,-38.2667,141.9667,49.23,89,10,7.47,AU,clear sky
151,cockburn town,21.4612,-71.1419,83.37,84,70,19.15,TC,broken clouds
152,impfondo,1.6381,18.0667,71.96,95,93,0.51,CG,light rain
153,posto fiscal rolim de moura,-13.0833,-62.2667,92.77,32,3,2.64,BR,clear sky
154,papatowai,-46.5619,169.4708,42.55,87,9,6.82,NZ,clear sky
155,blackmans bay,-43.0167,147.3167,51.73,69,71,15.14,AU,broken clouds
156,nuevitas,21.5453,-77.2644,87.67,67,4,9.53,CU,clear sky
157,kapuskasing,49.4169,-82.4331,62.69,67,75,5.75,CA,broken clouds
158,luanda,-8.8368,13.2343,69.8,78,20,5.75,AO,few clouds
159,udachny,66.4167,112.4,64.45,63,92,4.18,RU,overcast clouds
160,abalak,58.1286,68.5944,59.94,92,85,6.69,RU,light rain
161,san juan del cesar,10.7711,-73.0031,97.75,36,5,10.94,CO,clear sky
162,atafu village,-8.5421,-172.5159,83.08,80,49,15.23,TK,scattered clouds
163,walvis bay,-22.9575,14.5053,72.09,9,6,18.41,NA,clear sky
164,vanimo,-2.6741,141.3028,76.64,87,100,1.5,PG,heavy intensity rain
165,vadso,70.0744,29.7487,65.28,76,0,8.05,NO,clear sky
166,lichinga,-13.3128,35.2406,64.49,72,75,8.05,MZ,broken clouds
167,santa maria,-29.6842,-53.8069,63.7,88,75,3.44,BR,broken clouds
168,mil'kovo,55.6078,37.7956,59.2,67,100,13.29,RU,overcast clouds
169,cambria,35.5641,-121.0808,91.63,58,25,9.37,US,scattered clouds
170,sao tome,0.3365,6.7273,75.16,84,80,9.15,ST,broken clouds
171,lerwick,60.1545,-1.1494,59.0,91,6,8.08,GB,clear sky
172,fale old settlement,-9.3852,-171.2468,83.14,79,95,18.43,TK,light rain
173,noosa heads,-26.3833,153.15,53.33,81,1,4.97,AU,clear sky
174,jurbarkas,55.0778,22.7664,56.84,75,45,4.09,LT,scattered clouds
175,hun,29.1268,15.9477,83.93,33,0,13.67,LY,clear sky
176,arroio grande,-32.2375,-53.0869,56.84,90,100,9.26,BR,overcast clouds
177,shahrak,34.1074,64.3052,58.69,25,0,2.1,AF,clear sky
178,aljezur,37.3191,-8.8033,65.23,79,0,11.01,PT,clear sky
179,ambato boeny,-16.4667,46.7167,72.64,62,68,2.89,MG,broken clouds
180,lerma,42.0261,-3.7598,75.76,24,0,6.78,ES,clear sky
181,iskateley,67.6803,53.1512,38.75,93,0,7.25,RU,clear sky
182,farah,32.5,62.5,83.8,11,0,1.63,AF,clear sky
183,portland,45.5234,-122.6762,71.1,65,100,3.44,US,overcast clouds
184,atbara,17.7022,33.9864,93.58,15,51,10.78,SD,broken clouds
185,alice springs,-23.7,133.8833,35.15,100,0,6.96,AU,clear sky
186,le port,-20.9373,55.2919,70.9,69,14,5.14,RE,few clouds
187,guercif,34.2257,-3.3536,95.13,19,4,6.69,MA,clear sky
188,thinadhoo,0.5333,72.9333,81.23,69,77,4.54,MV,broken clouds
189,kavaratti,10.5669,72.642,82.56,76,100,17.87,IN,overcast clouds
190,nar'yan-mar,67.6713,53.087,39.04,93,0,7.29,RU,clear sky
191,vila franca do campo,37.7167,-25.4333,70.21,89,44,8.7,PT,light rain
192,puerto san jose,13.9256,-90.8244,87.17,68,100,6.15,GT,overcast clouds
193,prado,-17.3411,-39.2208,72.34,90,3,4.41,BR,clear sky
194,taoudenni,22.6783,-3.9836,104.43,8,0,14.16,ML,clear sky
195,apac,1.9756,32.5386,66.06,83,94,2.37,UG,overcast clouds
196,nantucket,41.2835,-70.0995,71.65,99,100,14.97,US,fog
197,olonkinbyen,70.9221,-8.7187,36.77,95,100,20.36,SJ,overcast clouds
198,sinabang,2.4803,96.3801,77.36,83,100,4.03,ID,overcast clouds
199,trairi,-3.2778,-39.2689,79.16,77,0,12.97,BR,clear sky
200,kenora,49.8167,-94.4337,54.57,71,100,14.97,CA,overcast clouds
201,santa ana,33.7456,-117.8678,99.41,56,20,11.5,US,few clouds
202,aquiraz,-3.9014,-38.3911,82.49,79,0,10.42,BR,clear sky
203,kambove,-10.8764,26.5969,60.01,48,0,5.14,CD,clear sky
204,rio gallegos,-51.6226,-69.2181,35.65,87,75,9.22,AR,broken clouds
205,kudahuvadhoo,2.6708,72.8944,81.86,71,100,7.4,MV,overcast clouds
206,oum hadjer,13.2954,19.6966,92.73,37,100,10.76,TD,overcast clouds
207,college,64.8569,-147.8028,71.58,53,75,9.22,US,broken clouds
